Sample	Total sequences	Paired-end technology bit set + both mates mapped	Proper-pair bit set	PCR or optical duplicate bit set	QC Failed	Reads mapped and MQ=0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Pairs on different chromosomes	Pairs with other orientation	Inward oriented pairs	Outward oriented pairs
D22-0110	904.281832	902.798894	892.973058	0	0	41.036746	133673.745696	0	0	2.560628	0.220849	441.752266	6.865704
D18-1921	716.136618	714.762132	706.648352	0	0	32.517274	105506.015303	0	0	2.151227	0.204948	348.798261	6.22663
D22-0080	742.894338	741.580212	733.342044	0	0	32.431425	109433.985583	0	0	2.099109	0.207553	362.254401	6.229043
D18-0870	771.859184	770.447418	760.635682	0	0	37.042894	113481.7052	0	0	2.586117	0.274078	375.081912	7.281602
D23-0074	838.140062	836.771998	827.894218	0	0	36.774598	123874.794006	0	0	2.197616	0.244597	409.76573	6.178056
D22-0015	936.239318	934.86668	925.61161	0	0	45.208178	137260.341405	0	0	2.570743	0.299727	449.662027	14.900843
D23-0060	956.249044	955.102962	944.350214	0	0	40.213103	141436.816539	0	0	2.577559	0.263743	467.51301	7.197169
D22-0060	709.515804	708.234554	700.274266	0	0	32.117276	104438.804461	0	0	1.916867	0.214707	345.796706	6.188997
D22-0088	830.444966	828.642472	820.305048	0	0	38.460943	121794.130602	0	0	2.173573	0.262316	403.398902	8.486445
D22-0050	677.802068	676.708326	668.404398	0	0	32.405943	99885.486609	0	0	2.160712	0.241993	330.236281	5.715177
D22-0049	826.288648	682.452636	674.746566	0	0	31.195957	100369.791941	0	0	2.068509	0.220523	331.582395	7.354891
D21-0074	806.9267	804.756368	795.245806	0	0	36.592258	118455.624433	0	0	2.239074	0.240953	391.745047	8.15311
D22-0119	941.637096	939.767828	928.91699	0	0	43.826624	138601.899234	0	0	2.902845	0.237679	458.880242	7.863148
D22-0081	858.691926	857.3179	846.709494	0	0	40.198929	126510.437341	0	0	2.711972	0.302793	418.759527	6.884658
D21-0078	919.324798	917.354766	906.042258	0	0	42.868993	135451.016456	0	0	2.9254	0.264878	446.794476	8.692629
D22-0159	905.960834	904.403878	895.38762	0	0	38.512311	133770.907067	0	0	2.369506	0.233619	442.29764	7.301174
D23-0059	942.133732	940.778882	929.388224	0	0	45.386007	139243.371956	0	0	2.787142	0.298407	460.13115	7.172742
D17-0918	902.187552	900.732094	889.50918	0	0	43.460151	132763.935984	0	0	2.848897	0.378531	438.087469	9.05115
D21-0076	1158.489038	1156.05267	1143.266536	0	0	50.226874	170558.690914	0	0	2.888317	0.326838	563.099788	11.711392
D21-0077	726.480112	724.875808	716.43274	0	0	32.074771	106759.707363	0	0	2.068649	0.243123	353.025015	7.101117
D18-1122	649.625296	648.551408	640.607596	0	0	30.356344	95687.673455	0	0	2.116367	0.218635	316.238981	5.701721
D22-0056	744.063658	742.624108	734.518722	0	0	34.874842	109512.662212	0	0	2.110247	0.225136	362.401893	6.574778
D20-1040	753.488698	751.22455	740.97304	0	0	37.018899	110742.25852	0	0	2.704237	0.263951	366.969439	5.674648
D12-928	613.428832	612.642578	602.094166	0	0	28.669041	91703.573611	0	0	2.658239	0.289451	301.46689	1.906709
D18-0051	733.57956	732.301252	723.18177	0	0	35.789273	107960.103674	0	0	2.296251	0.227248	356.865409	6.761718
D20-1019	651.726976	649.754226	641.792824	0	0	29.185884	95757.949901	0	0	2.11381	0.225666	317.749849	4.787788
D22-0007	803.716132	802.852418	796.587248	0	0	22.176272	118766.874008	0	0	1.979356	0.307636	394.23235	4.906867
D22-0170	755.321726	754.456442	747.688402	0	0	31.289514	111346.368707	0	0	1.635288	0.196183	368.778887	6.617863
D16-0298	862.707616	860.74303	852.046836	0	0	35.810621	126942.766367	0	0	2.31385	0.256036	419.823203	7.978426
D20-0414	688.311974	687.62891	676.828198	0	0	29.678453	102742.210701	0	0	3.771939	0.223298	337.894539	1.924679
D21-0084	765.603004	764.151414	754.854566	0	0	35.093295	112933.857011	0	0	2.339993	0.248701	374.16163	5.325383
D23-0058	1032.627366	1031.136726	1018.112764	0	0	49.210539	152647.679652	0	0	3.196182	0.299584	504.245412	7.827185
D12-881	646.737774	646.680632	636.98437	0	0	29.267441	96993.719034	0	0	2.613832	0.189689	318.79882	1.737975
D19-0824	749.355054	748.483958	741.159098	0	0	32.445207	110861.813788	0	0	1.822293	0.202137	370.590613	1.626936
D15-1048	973.322658	972.14158	959.822072	0	0	43.928662	145218.763757	0	0	3.491571	0.264263	480.413533	1.901423
D22-0018	926.39567	924.066348	915.96033	0	0	40.547141	135981.186413	0	0	2.28231	0.239721	446.569269	12.941874
D21-0079	923.953632	921.847046	911.692302	0	0	40.095869	136020.638136	0	0	2.507864	0.244443	449.529146	8.64207
D21-0069	1009.56783	1008.690456	998.286324	0	0	42.075319	149578.109879	0	0	2.532483	0.327261	499.289275	2.196209
D15-1050	1009.961106	1008.063628	995.765268	0	0	42.060286	150534.252318	0	0	3.416189	0.262468	498.111074	2.242083
D22-0017	830.004694	828.693862	820.869754	0	0	40.467693	121420.507401	0	0	2.393369	0.213981	396.787096	14.952485
D09-468	1217.986534	1216.839542	1204.781668	0	0	51.951657	180295.259848	0	0	3.168799	0.330848	602.079376	2.840748
D13-708	759.656536	758.136444	749.707556	0	0	33.486708	111834.432928	0	0	2.057923	0.192511	369.119113	7.698675
D21-0085	853.542798	852.293222	843.200754	0	0	38.971582	126234.568742	0	0	2.393965	0.209826	417.296741	6.246079
D19-0823	753.833554	752.95525	743.85806	0	0	36.80814	111402.539034	0	0	2.379907	0.220859	371.83677	2.040089
D19-1649	862.649078	859.907014	851.107178	0	0	39.030222	127064.848327	0	0	2.351406	0.288917	419.988047	7.325137
D15-1762	944.715602	943.618584	932.63292	0	0	42.306536	139652.350505	0	0	3.053736	0.347174	465.904348	2.504034
D21-0023	912.241882	828.555826	819.016884	0	0	39.447279	121661.260267	0	0	2.880953	0.25283	399.81737	11.32676
D12-880	558.924436	558.882576	550.496304	0	0	23.753623	83786.087623	0	0	2.119123	0.204072	275.725168	1.392925
D20-0819	1156.68126	1155.52306	1142.044064	0	0	52.414428	171181.773965	0	0	3.647141	0.438709	570.986769	2.688911
D21-0024	814.759426	778.45932	771.00354	0	0	33.867359	114792.94239	0	0	2.066451	0.241611	379.051472	7.870126
D21-0091	655.951696	654.975882	648.123426	0	0	29.51665	96936.380698	0	0	1.833073	0.156423	320.464503	5.033942
D22-0075	728.47086	727.250492	718.833284	0	0	33.513281	107237.058101	0	0	2.18156	0.217387	354.650073	6.576226
D22-0082	828.757016	827.438012	817.909492	0	0	37.854048	122204.143889	0	0	2.33369	0.268011	405.084844	6.032461
D19-0825	1021.696988	1020.511514	1008.411256	0	0	47.962216	151259.048679	0	0	3.334562	0.295077	504.01523	2.610888
D14-0589	654.458816	654.4138	644.194382	0	0	27.906774	97767.490187	0	0	2.743367	0.304756	322.301794	1.856983
D15-0055	1076.078026	1075.525672	1063.637972	0	0	44.780512	160696.034585	0	0	3.018736	0.256431	532.420921	2.066748
D19-1647	814.721206	812.437092	803.960942	0	0	34.857467	120133.272883	0	0	2.282909	0.271876	396.944496	6.719265
D22-0161	852.93957	851.585878	841.698434	0	0	38.135061	126121.910354	0	0	2.646703	0.258438	416.896007	5.991791
D13-944	650.418334	649.660762	643.594156	0	0	27.3488	96250.856509	0	0	1.625415	0.133319	318.086066	4.985581
D22-0074	766.744676	765.354102	757.078234	0	0	32.593457	112909.070177	0	0	2.003875	0.23516	373.495212	6.942804
D22-0008	862.748762	861.313226	852.666998	0	0	37.100707	127029.445295	0	0	2.006807	0.334422	420.932396	7.382988
D20-0418	877.22693	876.366978	863.49369	0	0	39.25409	130936.608794	0	0	4.294392	0.281194	431.221125	2.386778
D22-0006	931.479616	929.662488	920.325534	0	0	44.238562	137202.665118	0	0	2.820537	0.215991	452.486281	9.308435
D22-0162	886.411504	885.046798	876.14299	0	0	37.575762	130978.749402	0	0	2.299286	0.228834	433.454294	6.540985
D15-1768	1285.7938	1284.288394	1271.162574	0	0	53.176311	190208.669524	0	0	3.284149	0.509756	635.447439	2.902853
D21-0075	739.900764	738.524984	729.180786	0	0	36.056582	108875.844796	0	0	2.280371	0.229654	358.772321	7.980146
D19-1648	884.045028	881.46864	871.231426	0	0	39.910609	130260.303276	0	0	2.863496	0.272369	429.614995	7.98346
D21-0068	786.137276	785.13958	776.892772	0	0	37.077963	116283.572799	0	0	2.246933	0.232675	388.323629	1.766553
D21-0083	713.216542	712.008584	704.152756	0	0	31.904659	105241.133258	0	0	2.057138	0.203028	348.723457	5.020669
D19-0714	711.03935	709.99117	702.33524	0	0	32.008728	104612.487934	0	0	1.965048	0.233221	346.170397	6.626919
D16-0208	947.541812	946.180812	936.189308	0	0	40.888172	139421.353	0	0	2.399957	0.33606	460.787223	9.567166
D22-0089	912.811136	911.134572	900.58076	0	0	43.025888	134178.272051	0	0	2.849308	0.246571	443.878378	8.593029
D21-0013	812.117112	810.79779	801.633544	0	0	37.276145	119672.650538	0	0	2.259457	0.248138	396.075468	6.815832
DGS-20-210	933.021012	932.251096	920.61859	0	0	42.67623	139328.617116	0	0	3.670807	0.275366	460.2282	1.951175
D22-0109	960.550934	959.148852	949.008366	0	0	42.578457	141950.728993	0	0	2.661622	0.239229	468.947646	7.725929
