Sample	PASS_chm13	PASS_grch38
D09-468.sorted.cram_dysgu	17783	20709
D12-880.sorted.cram_dysgu	11013	13303
D12-881.sorted.cram_dysgu	12287	14786
D12-928.sorted.cram_dysgu	11742	14379
D13-708.sorted.cram_dysgu	15439	18288
D13-944.sorted.cram_dysgu	14120	16963
D14-0589.sorted.cram_dysgu	11645	14008
D15-0055.sorted.cram_dysgu	17024	19458
D15-1048.sorted.cram_dysgu	16905	19746
D15-1050.sorted.cram_dysgu	17349	19878
D15-1762.sorted.cram_dysgu	17149	19948
D15-1768.sorted.cram_dysgu	21187	24019
D16-0208.sorted.cram_dysgu	15534	18208
D16-0298.sorted.cram_dysgu	16023	18827
D17-0918.sorted.cram_dysgu	15364	18059
D18-0051.sorted.cram_dysgu	14535	17147
D18-0870.sorted.cram_dysgu	14647	17184
D18-1122.sorted.cram_dysgu	14171	16762
D18-1921.sorted.cram_dysgu	14778	17775
D19-0714.sorted.cram_dysgu	14702	17551
D19-0823.sorted.cram_dysgu	15044	18077
D19-0824.sorted.cram_dysgu	14919	17847
D19-0825.sorted.cram_dysgu	16213	19219
D19-1647.sorted.cram_dysgu	16039	18775
D19-1648.sorted.cram_dysgu	16417	19091
D19-1649.sorted.cram_dysgu	16182	18765
D20-0414.sorted.cram_dysgu	15295	17890
D20-0418.sorted.cram_dysgu	16432	19224
D20-0819.sorted.cram_dysgu	18904	21737
D20-1019.sorted.cram_dysgu	13578	16136
D20-1040.sorted.cram_dysgu	14248	17069
D21-0013.sorted.cram_dysgu	14732	17537
D21-0023.sorted.cram_dysgu	15754	18381
D21-0024.sorted.cram_dysgu	16042	18801
D21-0068.sorted.cram_dysgu	15198	17673
D21-0069.sorted.cram_dysgu	16588	19325
D21-0074.sorted.cram_dysgu	15627	18243
D21-0075.sorted.cram_dysgu	15336	18040
D21-0076.sorted.cram_dysgu	18299	21062
D21-0077.sorted.cram_dysgu	15005	17855
D21-0078.sorted.cram_dysgu	16252	19013
D21-0079.sorted.cram_dysgu	16252	19002
D21-0083.sorted.cram_dysgu	13959	16715
D21-0084.sorted.cram_dysgu	14458	17056
D21-0085.sorted.cram_dysgu	15035	17748
D21-0091.sorted.cram_dysgu	17511	16568
D22-0006.sorted.cram_dysgu	15971	18581
D22-0007.sorted.cram_dysgu	20769	23696
D22-0008.sorted.cram_dysgu	14872	17549
D22-0015.sorted.cram_dysgu	16205	19132
D22-0017.sorted.cram_dysgu	15605	18239
D22-0018.sorted.cram_dysgu	16347	19341
D22-0049.sorted.cram_dysgu	14174	16808
D22-0050.sorted.cram_dysgu	14052	16808
D22-0056.sorted.cram_dysgu	14809	17695
D22-0060.sorted.cram_dysgu	14240	17044
D22-0074.sorted.cram_dysgu	14273	16947
D22-0075.sorted.cram_dysgu	14048	16732
D22-0080.sorted.cram_dysgu	14276	16778
D22-0081.sorted.cram_dysgu	14700	17072
D22-0082.sorted.cram_dysgu	14593	17085
D22-0088.sorted.cram_dysgu	15192	17230
D22-0089.sorted.cram_dysgu	14837	17695
D22-0109.sorted.cram_dysgu	15782	18308
D22-0110.sorted.cram_dysgu	15436	18001
D22-0119.sorted.cram_dysgu	15715	18094
D22-0159.sorted.cram_dysgu	15259	17705
D22-0161.sorted.cram_dysgu	15057	17755
D22-0162.sorted.cram_dysgu	15266	18031
D22-0170.sorted.cram_dysgu	14545	17351
D23-0058.sorted.cram_dysgu	16685	19220
D23-0059.sorted.cram_dysgu	15990	18613
D23-0060.sorted.cram_dysgu	16036	18782
D23-0074.sorted.cram_dysgu	15743	17631
DGS-20-210.sorted.cram_dysgu	16824	19424
		150580
